Pregunta;Respuesta
bootcamp Aplicaciones de la inteligencia artificial en la empresa;"Daremos el siguiente temario:
- Introducción a la inteligencia artificial
- Casos de uso y aplicaciones en diferentes sectores y áreas de negocio
- Aplicación de la inteligencia artificial en la cadena de valor de la empresa
- Herramientas y soluciones 
- Caso. Implantación de una aplicación de inteligencia artificial

Tiene una duración de 10 horas"
curso Aplicaciones de la inteligencia artificial en la empresa;"Daremos el siguiente temario:
- Introducción a la inteligencia artificial
- Casos de uso y aplicaciones en diferentes sectores y áreas de negocio
- Aplicación de la inteligencia artificial en la cadena de valor de la empresa
- Herramientas y soluciones 
- Caso. Implantación de una aplicación de inteligencia artificial

Tiene una duración de 10 horas"
bootcamp Aplicaciones de la IA en la empresa;"Daremos el siguiente temario:
- Introducción a la inteligencia artificial
- Casos de uso y aplicaciones en diferentes sectores y áreas de negocio
- Aplicación de la inteligencia artificial en la cadena de valor de la empresa
- Herramientas y soluciones 
- Caso. Implantación de una aplicación de inteligencia artificial

Tiene una duración de 10 horas"
curso Aplicaciones de la IA en la empresa;"Daremos el siguiente temario:
- Introducción a la inteligencia artificial
- Casos de uso y aplicaciones en diferentes sectores y áreas de negocio
- Aplicación de la inteligencia artificial en la cadena de valor de la empresa
- Herramientas y soluciones 
- Caso. Implantación de una aplicación de inteligencia artificial

Tiene una duración de 10 horas"
hablame de el bootcamp de Gestión de proyectos de big data y analítica avanzada;"Daremos el siguiente temario:
- Introducción al big data, la ciencia de datos y la inteligencia artificial
- Principales casos de uso y aplicaciones en la empresa
- Arquitecturas corporativas. Del big data a la inteligencia artificial
- Gestión de proyectos basados en datos y analítica avanzada 
- Soluciones en la nube. Amazon AWS, Microsoft Azure, Google GCP
- Caso. Desarrollo y despliegue de un modelo de machine learning en la nube

Tiene una duración de 10 horas"
hablame de el curso de Gestión de proyectos de big data y analítica avanzada;"Daremos el siguiente temario:
- Introducción al big data, la ciencia de datos y la inteligencia artificial
- Principales casos de uso y aplicaciones en la empresa
- Arquitecturas corporativas. Del big data a la inteligencia artificial
- Gestión de proyectos basados en datos y analítica avanzada 
- Soluciones en la nube. Amazon AWS, Microsoft Azure, Google GCP
- Caso. Desarrollo y despliegue de un modelo de machine learning en la nube

Tiene una duración de 10 horas"
bootcamp de Gestión de proyectos de big data y analítica avanzada;"Daremos el siguiente temario:
- Introducción al big data, la ciencia de datos y la inteligencia artificial
- Principales casos de uso y aplicaciones en la empresa
- Arquitecturas corporativas. Del big data a la inteligencia artificial
- Gestión de proyectos basados en datos y analítica avanzada 
- Soluciones en la nube. Amazon AWS, Microsoft Azure, Google GCP
- Caso. Desarrollo y despliegue de un modelo de machine learning en la nube

Tiene una duración de 10 horas"
curso de Gestión de proyectos de big data y analítica avanzada;"Daremos el siguiente temario:
- Introducción al big data, la ciencia de datos y la inteligencia artificial
- Principales casos de uso y aplicaciones en la empresa
- Arquitecturas corporativas. Del big data a la inteligencia artificial
- Gestión de proyectos basados en datos y analítica avanzada 
- Soluciones en la nube. Amazon AWS, Microsoft Azure, Google GCP
- Caso. Desarrollo y despliegue de un modelo de machine learning en la nube

Tiene una duración de 10 horas"
bootcamp de Gestión de proyectos de big data;"Daremos el siguiente temario:
- Introducción al big data, la ciencia de datos y la inteligencia artificial
- Principales casos de uso y aplicaciones en la empresa
- Arquitecturas corporativas. Del big data a la inteligencia artificial
- Gestión de proyectos basados en datos y analítica avanzada 
- Soluciones en la nube. Amazon AWS, Microsoft Azure, Google GCP
- Caso. Desarrollo y despliegue de un modelo de machine learning en la nube

Tiene una duración de 10 horas"
curso de Gestión de proyectos de big data;"Daremos el siguiente temario:
- Introducción al big data, la ciencia de datos y la inteligencia artificial
- Principales casos de uso y aplicaciones en la empresa
- Arquitecturas corporativas. Del big data a la inteligencia artificial
- Gestión de proyectos basados en datos y analítica avanzada 
- Soluciones en la nube. Amazon AWS, Microsoft Azure, Google GCP
- Caso. Desarrollo y despliegue de un modelo de machine learning en la nube

Tiene una duración de 10 horas"
hablame de el bootcamp de Deep Learning. Técnicas y aplicaciones;"Daremos el siguiente temario:
- Introducción al Deep Learning
- Las principales herramientas del mercado. Tensorflow y Keras
- Perceptrones multicapa y autoencoders
- Deep feedforward networks
- Redes convolucionales
- Otras redes
- Caso práctico.

Tiene una duración de 10 horas"
hablame de el curso de Deep Learning. Técnicas y aplicaciones;"Daremos el siguiente temario:
- Introducción al Deep Learning
- Las principales herramientas del mercado. Tensorflow y Keras
- Perceptrones multicapa y autoencoders
- Deep feedforward networks
- Redes convolucionales
- Otras redes
- Caso práctico.

Tiene una duración de 10 horas"
bootcamp de Deep Learning. Técnicas y aplicaciones;"Daremos el siguiente temario:
- Introducción al Deep Learning
- Las principales herramientas del mercado. Tensorflow y Keras
- Perceptrones multicapa y autoencoders
- Deep feedforward networks
- Redes convolucionales
- Otras redes
- Caso práctico.

Tiene una duración de 10 horas"
curso de Deep Learning. Técnicas y aplicaciones;"Daremos el siguiente temario:
- Introducción al Deep Learning
- Las principales herramientas del mercado. Tensorflow y Keras
- Perceptrones multicapa y autoencoders
- Deep feedforward networks
- Redes convolucionales
- Otras redes
- Caso práctico.

Tiene una duración de 10 horas"
hablame de el bootcamp de Machine Learning. Introducción y aplicaciones;"Daremos el siguiente temario:
- Introducción al Machine Learning
- Aprendizaje supervisado
- Aprendizaje no supervisado
- Herramientas, soluciones y servicios de machine learning
- Caso. Construcción y evaluación de un modelo machine learning.

Tiene una duración de 10 horas"
hablame de el curso de Machine Learning. Introducción y aplicaciones;"Daremos el siguiente temario:
- Introducción al Machine Learning
- Aprendizaje supervisado
- Aprendizaje no supervisado
- Herramientas, soluciones y servicios de machine learning
- Caso. Construcción y evaluación de un modelo machine learning.

Tiene una duración de 10 horas"
bootcamp de Machine Learning. Introducción y aplicaciones;"Daremos el siguiente temario:
- Introducción al Machine Learning
- Aprendizaje supervisado
- Aprendizaje no supervisado
- Herramientas, soluciones y servicios de machine learning
- Caso. Construcción y evaluación de un modelo machine learning.

Tiene una duración de 10 horas"
curso de Machine Learning. Introducción y aplicaciones;"Daremos el siguiente temario:
- Introducción al Machine Learning
- Aprendizaje supervisado
- Aprendizaje no supervisado
- Herramientas, soluciones y servicios de machine learning
- Caso. Construcción y evaluación de un modelo machine learning.

Tiene una duración de 10 horas"
